"","expert","HZ","p_cm","p_cm_val","expert_date","horizon_end_date","horizon_start_date","delay","total_horizon","month","type","reported_cases","institution","last.in.field","experience.ide","score_bri","score_log"
"103",15,"MABALAKO",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",1,-23.0258509299405
"104",15,"MABALAKO",">=6",0.2,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",0.8,-1.6094379129341
"105",15,"MAMBASA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"106",15,"MAMBASA",">=2",0.75,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.75,-1.38629436071989
"107",15,"MAMBASA",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"108",15,"MAMBASA",">=6",0.15,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.15,-0.162518929380128
"109",15,"MANDIMA",">=10",0.35,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.35,-0.430782915938608
"110",15,"MANDIMA",">=2",1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"111",15,"MANDIMA",">=20",0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.05,-0.0512932942822874
"112",15,"MANDIMA",">=6",0.7,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",0.3,-0.35667494408159
"113",15,"NYAKUNDE",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"114",15,"NYAKUNDE",">=2",0.45,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.45,-0.597837000573802
"115",15,"NYAKUNDE",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"116",15,"NYAKUNDE",">=6",0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.05,-0.0512932942822874
